aldo_pH7p5_Elution1_0022_circles#_6_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 1.82130e-005	 8.23302e-006
   0.00685768	 1.18750e-005	 4.96397e-006
   0.00742915	 1.28650e-005	 3.83536e-006
   0.00800062	 1.36340e-005	 2.78197e-006
   0.00857209	 1.13180e-005	 2.26248e-006
   0.00914356	 9.61201e-006	 1.93869e-006
   0.00971504	 1.01750e-005	 1.71397e-006
    0.0102865	 8.22701e-006	 1.52830e-006
    0.0108580	 7.11101e-006	 1.32433e-006
    0.0114295	 6.68700e-006	 1.18947e-006
    0.0120009	 7.28099e-006	 1.09301e-006
    0.0125724	 7.30601e-006	 1.02411e-006
    0.0131439	 6.60300e-006	 9.70437e-007
    0.0137153	 4.07700e-006	 9.18762e-007
    0.0142868	 1.76100e-006	 8.73271e-007
    0.0148583	 2.33400e-006	 8.47688e-007
    0.0154297	 2.88150e-006	 8.20620e-007
    0.0160012	 1.80869e-006	 7.91301e-007
    0.0165727	 1.47980e-006	 7.70573e-007
    0.0171441	 2.16630e-006	 7.53134e-007
    0.0177156	 1.84090e-006	 7.32030e-007
    0.0182871	 1.66290e-006	 7.14611e-007
    0.0188586	 2.52580e-006	 7.00735e-007
    0.0194300	 2.27390e-006	 6.86816e-007
    0.0200015	 1.87010e-006	 6.71756e-007
    0.0205729	 1.87170e-006	 6.56808e-007
    0.0211444	 1.15880e-006	 6.42065e-007
    0.0217159	 5.15094e-007	 6.27218e-007
    0.0222873	 4.41301e-007	 6.17656e-007
    0.0228588	 8.72969e-008	 6.05104e-007
    0.0234303	-1.96298e-007	 5.93213e-007
    0.0240017	 6.60002e-007	 5.86562e-007
    0.0245732	 6.74299e-007	 5.75831e-007
    0.0251447	-4.23497e-007	 5.63625e-007
    0.0257161	-9.80202e-007	 5.52207e-007
    0.0262876	 7.98704e-007	 5.48815e-007
    0.0268590	 1.46101e-007	 5.40147e-007
    0.0274305	-2.19399e-007	 5.31467e-007
    0.0280020	-1.27930e-006	 5.20289e-007
    0.0285734	-1.19850e-006	 5.14137e-007
    0.0291449	-4.54398e-007	 5.10007e-007
    0.0297163	-4.87700e-007	 5.03718e-007
    0.0302878	 2.80299e-007	 5.00266e-007
    0.0308593	-4.82032e-008	 4.92893e-007
    0.0314307	-5.00499e-007	 4.84667e-007
    0.0320022	-4.06304e-007	 4.80572e-007
    0.0325736	-3.87954e-008	 4.75144e-007
    0.0331451	-1.05120e-006	 4.66112e-007
    0.0337165	-1.34511e-006	 4.61679e-007
    0.0342880	-7.43996e-007	 4.58237e-007
    0.0348594	-6.72298e-007	 4.53354e-007
