aldo_pH7p5_Elution1_0022_circles#_1_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 1.76160e-005	 8.22464e-006
   0.00685768	 1.47830e-005	 4.98707e-006
   0.00742915	 1.41860e-005	 3.84456e-006
   0.00800062	 1.39580e-005	 2.78342e-006
   0.00857209	 1.36660e-005	 2.27488e-006
   0.00914356	 1.57600e-005	 1.97058e-006
   0.00971504	 1.59520e-005	 1.74296e-006
    0.0102865	 1.19230e-005	 1.54629e-006
    0.0108580	 7.65901e-006	 1.32658e-006
    0.0114295	 8.08600e-006	 1.19527e-006
    0.0120009	 7.90200e-006	 1.09541e-006
    0.0125724	 7.79000e-006	 1.02591e-006
    0.0131439	 7.23100e-006	 9.72800e-007
    0.0137153	 6.49800e-006	 9.28336e-007
    0.0142868	 5.78200e-006	 8.89224e-007
    0.0148583	 4.04300e-006	 8.54356e-007
    0.0154297	 2.27951e-006	 8.18092e-007
    0.0160012	 1.47510e-006	 7.89853e-007
    0.0165727	 1.16180e-006	 7.69197e-007
    0.0171441	 1.12110e-006	 7.48966e-007
    0.0177156	 1.46090e-006	 7.30450e-007
    0.0182871	 1.61820e-006	 7.14321e-007
    0.0188586	 1.90270e-006	 6.98283e-007
    0.0194300	 2.05130e-006	 6.85874e-007
    0.0200015	 1.51110e-006	 6.70320e-007
    0.0205729	 4.66200e-007	 6.51556e-007
    0.0211444	 7.52203e-007	 6.40480e-007
    0.0217159	 1.49810e-006	 6.30646e-007
    0.0222873	 1.16150e-006	 6.20116e-007
    0.0228588	 3.52098e-007	 6.05936e-007
    0.0234303	 1.04131e-006	 5.97421e-007
    0.0240017	 1.11290e-006	 5.88022e-007
    0.0245732	 1.33250e-006	 5.77973e-007
    0.0251447	 5.16302e-007	 5.66713e-007
    0.0257161	-5.60998e-007	 5.53527e-007
    0.0262876	 5.88043e-008	 5.46271e-007
    0.0268590	-4.13398e-007	 5.38214e-007
    0.0274305	-3.83799e-007	 5.30842e-007
    0.0280020	 2.21902e-007	 5.25061e-007
    0.0285734	-2.57794e-007	 5.17070e-007
    0.0291449	-5.69104e-007	 5.09555e-007
    0.0297163	-1.72498e-007	 5.04625e-007
    0.0302878	-8.41974e-008	 4.99048e-007
    0.0308593	-5.33299e-007	 4.91311e-007
    0.0314307	-4.19197e-007	 4.84834e-007
    0.0320022	-5.00899e-007	 4.80202e-007
    0.0325736	-1.04390e-006	 4.72021e-007
    0.0331451	-1.28230e-006	 4.65336e-007
    0.0337165	-9.72301e-007	 4.62716e-007
    0.0342880	-2.63797e-007	 4.59581e-007
    0.0348594	-3.66505e-007	 4.54174e-007
