aldo_pH7p5_Elution1_0022_circles#_7_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 7.33699e-006	 8.10310e-006
   0.00685768	 6.09702e-006	 4.91503e-006
   0.00742915	 1.07040e-005	 3.81846e-006
   0.00800062	 1.69110e-005	 2.80081e-006
   0.00857209	 1.58370e-005	 2.28657e-006
   0.00914356	 1.26550e-005	 1.95432e-006
   0.00971504	 9.24901e-006	 1.70889e-006
    0.0102865	 9.16401e-006	 1.53263e-006
    0.0108580	 7.57500e-006	 1.32617e-006
    0.0114295	 7.52699e-006	 1.19284e-006
    0.0120009	 7.05000e-006	 1.09182e-006
    0.0125724	 6.17100e-006	 1.01925e-006
    0.0131439	 3.41600e-006	 9.57328e-007
    0.0137153	 2.44600e-006	 9.11963e-007
    0.0142868	 2.51400e-006	 8.76132e-007
    0.0148583	 2.24700e-006	 8.47166e-007
    0.0154297	 1.19050e-006	 8.13734e-007
    0.0160012	 1.12080e-006	 7.88431e-007
    0.0165727	 9.64697e-007	 7.68402e-007
    0.0171441	 1.59440e-006	 7.50776e-007
    0.0177156	 1.56030e-006	 7.30808e-007
    0.0182871	 1.49690e-006	 7.13838e-007
    0.0188586	 6.17001e-007	 6.93425e-007
    0.0194300	-3.39001e-007	 6.76920e-007
    0.0200015	-2.48983e-008	 6.64616e-007
    0.0205729	-8.54103e-007	 6.46672e-007
    0.0211444	-5.23200e-007	 6.35809e-007
    0.0217159	 3.97595e-007	 6.26668e-007
    0.0222873	-6.04399e-007	 6.13791e-007
    0.0228588	-1.00330e-006	 6.01119e-007
    0.0234303	-4.76197e-007	 5.92115e-007
    0.0240017	 7.36400e-007	 5.86708e-007
    0.0245732	-3.35494e-007	 5.72261e-007
    0.0251447	-1.12510e-006	 5.61123e-007
    0.0257161	-4.05402e-007	 5.54034e-007
    0.0262876	-1.05680e-006	 5.42537e-007
    0.0268590	-7.54000e-007	 5.37073e-007
    0.0274305	-3.11804e-007	 5.31060e-007
    0.0280020	 4.84499e-007	 5.25891e-007
    0.0285734	 7.45058e-008	 5.18117e-007
    0.0291449	-3.90603e-007	 5.10107e-007
    0.0297163	-3.28699e-007	 5.04118e-007
    0.0302878	-8.80602e-007	 4.96548e-007
    0.0308593	-1.69300e-006	 4.87693e-007
    0.0314307	-9.08098e-007	 4.83315e-007
    0.0320022	-3.36004e-008	 4.81611e-007
    0.0325736	-2.20898e-007	 4.74499e-007
    0.0331451	-2.52803e-007	 4.68416e-007
    0.0337165	 1.02700e-007	 4.65905e-007
    0.0342880	-5.73098e-007	 4.58651e-007
    0.0348594	-1.24510e-006	 4.51579e-007
