aldo_pH7p5_Elution1_0022_circles#_3_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 1.63750e-005	 8.21018e-006
   0.00685768	 2.14200e-005	 5.04137e-006
   0.00742915	 1.49250e-005	 3.85008e-006
   0.00800062	 1.43870e-005	 2.78599e-006
   0.00857209	 1.13410e-005	 2.26224e-006
   0.00914356	 1.18460e-005	 1.95015e-006
   0.00971504	 1.17370e-005	 1.72166e-006
    0.0102865	 9.03700e-006	 1.53207e-006
    0.0108580	 8.60101e-006	 1.33085e-006
    0.0114295	 8.10300e-006	 1.19536e-006
    0.0120009	 7.73399e-006	 1.09473e-006
    0.0125724	 6.85400e-006	 1.02210e-006
    0.0131439	 5.67101e-006	 9.66523e-007
    0.0137153	 4.75700e-006	 9.21357e-007
    0.0142868	 3.28200e-006	 8.79255e-007
    0.0148583	 2.00301e-006	 8.46225e-007
    0.0154297	 1.70650e-006	 8.15823e-007
    0.0160012	 2.22660e-006	 7.92820e-007
    0.0165727	 2.14219e-006	 7.73035e-007
    0.0171441	 2.37920e-006	 7.53835e-007
    0.0177156	 1.86490e-006	 7.32005e-007
    0.0182871	 1.38190e-006	 7.13431e-007
    0.0188586	 3.00120e-006	 7.02398e-007
    0.0194300	 3.43470e-006	 6.90999e-007
    0.0200015	 1.76740e-006	 6.71271e-007
    0.0205729	 1.56760e-006	 6.55595e-007
    0.0211444	 7.68705e-007	 6.40546e-007
    0.0217159	-2.51406e-007	 6.24347e-007
    0.0222873	-2.38499e-007	 6.15129e-007
    0.0228588	-5.60030e-008	 6.04502e-007
    0.0234303	 3.41402e-007	 5.94995e-007
    0.0240017	 1.42620e-006	 5.89105e-007
    0.0245732	 1.82210e-006	 5.79641e-007
    0.0251447	 7.26002e-007	 5.67428e-007
    0.0257161	 2.46400e-007	 5.56247e-007
    0.0262876	-8.95299e-007	 5.43099e-007
    0.0268590	-7.05695e-007	 5.37255e-007
    0.0274305	-2.12603e-007	 5.31406e-007
    0.0280020	 7.50406e-007	 5.26768e-007
    0.0285734	-6.80957e-008	 5.17683e-007
    0.0291449	-6.17001e-007	 5.09409e-007
    0.0297163	-8.11895e-007	 5.02616e-007
    0.0302878	-6.76700e-007	 4.97207e-007
    0.0308593	-1.14960e-006	 4.89405e-007
    0.0314307	-9.81498e-007	 4.83109e-007
    0.0320022	-9.11103e-007	 4.78954e-007
    0.0325736	-3.22980e-008	 4.75088e-007
    0.0331451	-2.52039e-008	 4.69117e-007
    0.0337165	-7.71302e-007	 4.63322e-007
    0.0342880	-4.17502e-007	 4.59131e-007
    0.0348594	 5.67299e-007	 4.56907e-007
