aldo_pH7p5_Elution1_0022_circles#_8_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
    0.0731446	-3.43302e-007	 3.02533e-007
    0.0737160	-2.98998e-007	 3.03282e-007
    0.0742874	-3.85000e-007	 3.04046e-007
    0.0748587	-1.88797e-007	 3.04931e-007
    0.0754301	-2.36600e-007	 3.04831e-007
    0.0760015	 1.29949e-008	 3.05699e-007
    0.0765729	-5.50062e-009	 3.05149e-007
    0.0771442	 9.60426e-009	 3.05207e-007
    0.0777156	 1.72004e-008	 3.05494e-007
    0.0782870	 7.05768e-010	 3.05006e-007
    0.0788583	-1.17499e-007	 3.04644e-007
    0.0794297	 6.40939e-008	 3.04791e-007
    0.0800011	 2.10297e-007	 3.04936e-007
    0.0805724	 6.37010e-008	 3.04188e-007
    0.0811438	-4.74705e-007	 3.04507e-007
    0.0817151	-5.20202e-007	 3.10281e-007
    0.0822865	-9.05602e-007	 3.12003e-007
    0.0828579	-8.72802e-007	 3.14327e-007
    0.0834292	-8.32006e-007	 3.16116e-007
    0.0840006	-8.12703e-007	 3.17831e-007
    0.0845719	-6.23404e-007	 3.19712e-007
    0.0851433	-7.00406e-007	 3.20780e-007
    0.0857146	-6.28199e-007	 3.22323e-007
    0.0862859	-4.00294e-007	 3.23927e-007
    0.0868573	-3.00999e-007	 3.24154e-007
    0.0874286	-9.62973e-008	 3.18599e-007
    0.0880000	 2.25002e-007	 3.15763e-007
    0.0885713	-3.19415e-009	 3.12850e-007
    0.0891427	-3.37604e-007	 3.09678e-007
    0.0897140	-3.42203e-007	 3.08714e-007
    0.0902853	-5.28016e-008	 3.07910e-007
    0.0908566	-2.66104e-007	 3.06279e-007
    0.0914280	-2.49696e-007	 3.05500e-007
    0.0919993	 9.16043e-008	 3.05289e-007
    0.0925706	-1.18904e-007	 3.04028e-007
    0.0931420	 9.16043e-008	 3.03843e-007
    0.0937133	 3.27098e-007	 3.03188e-007
    0.0942846	 1.37952e-008	 3.01619e-007
    0.0948559	 1.14902e-007	 3.01185e-007
    0.0954272	-2.28974e-008	 3.00069e-007
    0.0959985	 2.04695e-007	 3.00038e-007
    0.0965699	 2.14197e-007	 2.99589e-007
    0.0971412	-5.04951e-008	 2.98363e-007
    0.0977125	-3.30983e-008	 2.97687e-007
    0.0982838	-8.63001e-008	 2.96749e-007
    0.0988551	-2.65500e-007	 2.95467e-007
    0.0994264	-2.09002e-007	 2.95487e-007
    0.0999977	 5.36020e-008	 2.94884e-007
     0.100569	 4.34011e-008	 2.94403e-007
     0.101140	-1.99900e-007	 2.93204e-007
     0.101712	-5.02041e-010	 2.92977e-007
     0.102283	 2.71975e-008	 2.92437e-007
     0.102854	-3.15398e-007	 2.90792e-007
     0.103425	-1.63702e-007	 2.90625e-007
     0.103997	 1.36097e-007	 2.90681e-007
