aldo_pH7p5_Elution1_0022_circles#_0_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 3.55690e-005	 8.43333e-006
   0.00685768	 3.12890e-005	 5.12153e-006
   0.00742915	 2.48510e-005	 3.92355e-006
   0.00800062	 1.81970e-005	 2.80882e-006
   0.00857209	 1.38030e-005	 2.27590e-006
   0.00914356	 1.32790e-005	 1.95788e-006
   0.00971504	 1.57280e-005	 1.74204e-006
    0.0102865	 1.56810e-005	 1.56483e-006
    0.0108580	 1.17470e-005	 1.34511e-006
    0.0114295	 1.05750e-005	 1.20605e-006
    0.0120009	 8.06199e-006	 1.09621e-006
    0.0125724	 5.16400e-006	 1.01527e-006
    0.0131439	 5.49500e-006	 9.65920e-007
    0.0137153	 6.95400e-006	 9.30272e-007
    0.0142868	 5.80500e-006	 8.89424e-007
    0.0148583	 4.12601e-006	 8.54791e-007
    0.0154297	 3.56850e-006	 8.23292e-007
    0.0160012	 3.20870e-006	 7.96756e-007
    0.0165727	 1.37959e-006	 7.70143e-007
    0.0171441	 1.88957e-008	 7.44771e-007
    0.0177156	 8.08199e-007	 7.28030e-007
    0.0182871	 9.72504e-007	 7.11952e-007
    0.0188586	 4.19102e-007	 6.92782e-007
    0.0194300	-2.81500e-007	 6.77239e-007
    0.0200015	-5.32993e-007	 6.62826e-007
    0.0205729	 7.50901e-007	 6.52681e-007
    0.0211444	 1.09170e-006	 6.41790e-007
    0.0217159	 1.45480e-006	 6.30568e-007
    0.0222873	 1.44950e-006	 6.21213e-007
    0.0228588	 7.20502e-007	 6.07307e-007
    0.0234303	-3.16941e-008	 5.93760e-007
    0.0240017	-4.11797e-007	 5.82826e-007
    0.0245732	-4.74094e-007	 5.71872e-007
    0.0251447	 2.33304e-007	 5.65825e-007
    0.0257161	 4.26000e-007	 5.56910e-007
    0.0262876	-3.12895e-007	 5.45101e-007
    0.0268590	 7.50006e-008	 5.39887e-007
    0.0274305	 3.22601e-007	 5.33206e-007
    0.0280020	-1.96451e-010	 5.24409e-007
    0.0285734	-4.13500e-007	 5.16635e-007
    0.0291449	 3.07402e-007	 5.12395e-007
    0.0297163	-4.70100e-007	 5.03750e-007
    0.0302878	-4.44903e-007	 4.97985e-007
    0.0308593	-3.84702e-007	 4.91830e-007
    0.0314307	-6.42802e-007	 4.84205e-007
    0.0320022	-1.39250e-006	 4.77531e-007
    0.0325736	-8.58796e-007	 4.72641e-007
    0.0331451	-1.18130e-006	 4.65698e-007
    0.0337165	-1.28571e-006	 4.61834e-007
    0.0342880	-1.34770e-006	 4.56422e-007
    0.0348594	-1.13190e-006	 4.51981e-007
