aldo_pH7p5_Elution1_0022_circles#_4_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 2.04580e-005	 8.25708e-006
   0.00685768	 1.74450e-005	 5.00842e-006
   0.00742915	 1.51390e-005	 3.85127e-006
   0.00800062	 1.39390e-005	 2.78304e-006
   0.00857209	 1.48290e-005	 2.28098e-006
   0.00914356	 1.08140e-005	 1.94453e-006
   0.00971504	 8.38601e-006	 1.70434e-006
    0.0102865	 9.00701e-006	 1.53176e-006
    0.0108580	 8.65701e-006	 1.33097e-006
    0.0114295	 7.84300e-006	 1.19412e-006
    0.0120009	 6.85800e-006	 1.09095e-006
    0.0125724	 4.99800e-006	 1.01437e-006
    0.0131439	 3.45100e-006	 9.57409e-007
    0.0137153	 1.78300e-006	 9.09202e-007
    0.0142868	 2.41300e-006	 8.75671e-007
    0.0148583	 3.80900e-006	 8.53346e-007
    0.0154297	 4.01050e-006	 8.24856e-007
    0.0160012	 3.79069e-006	 7.98854e-007
    0.0165727	 4.15579e-006	 7.80758e-007
    0.0171441	 3.38080e-006	 7.57603e-007
    0.0177156	 2.19500e-006	 7.33190e-007
    0.0182871	 2.20890e-006	 7.16490e-007
    0.0188586	 1.57970e-006	 6.97006e-007
    0.0194300	 1.57000e-006	 6.84019e-007
    0.0200015	 1.30000e-006	 6.69479e-007
    0.0205729	 1.06620e-006	 6.53694e-007
    0.0211444	 1.12160e-006	 6.41760e-007
    0.0217159	 4.01495e-007	 6.26642e-007
    0.0222873	-8.57697e-007	 6.12842e-007
    0.0228588	-1.10530e-006	 6.00719e-007
    0.0234303	-4.47697e-007	 5.92178e-007
    0.0240017	-6.70698e-007	 5.81801e-007
    0.0245732	 1.38403e-007	 5.73849e-007
    0.0251447	 5.02601e-007	 5.66613e-007
    0.0257161	 8.99017e-008	 5.55663e-007
    0.0262876	 1.49099e-007	 5.46519e-007
    0.0268590	-7.05499e-007	 5.37199e-007
    0.0274305	-1.44000e-006	 5.27334e-007
    0.0280020	-1.08100e-006	 5.20795e-007
    0.0285734	 6.99947e-009	 5.17868e-007
    0.0291449	 4.54296e-007	 5.12749e-007
    0.0297163	-2.22601e-007	 5.04419e-007
    0.0302878	-6.07804e-007	 4.97369e-007
    0.0308593	-1.84420e-006	 4.87190e-007
    0.0314307	-1.27890e-006	 4.82140e-007
    0.0320022	-7.26803e-007	 4.79467e-007
    0.0325736	-3.65493e-007	 4.74032e-007
    0.0331451	-9.21398e-007	 4.66379e-007
    0.0337165	-9.16902e-007	 4.62838e-007
    0.0342880	-1.10840e-006	 4.57035e-007
    0.0348594	-1.06530e-006	 4.52079e-007
