aldo_pH7p5_Elution1_0022_circles#_2_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 1.17570e-005	 8.15696e-006
   0.00685768	 2.15940e-005	 5.04349e-006
   0.00742915	 2.05640e-005	 3.89229e-006
   0.00800062	 1.43550e-005	 2.78620e-006
   0.00857209	 1.35380e-005	 2.27453e-006
   0.00914356	 1.09430e-005	 1.94568e-006
   0.00971504	 8.88201e-006	 1.70731e-006
    0.0102865	 7.22901e-006	 1.52330e-006
    0.0108580	 7.70601e-006	 1.32700e-006
    0.0114295	 8.75800e-006	 1.19834e-006
    0.0120009	 7.30400e-006	 1.09309e-006
    0.0125724	 7.40901e-006	 1.02451e-006
    0.0131439	 6.63600e-006	 9.70552e-007
    0.0137153	 5.74100e-006	 9.25444e-007
    0.0142868	 4.70400e-006	 8.85068e-007
    0.0148583	 3.86300e-006	 8.53772e-007
    0.0154297	 3.58250e-006	 8.23372e-007
    0.0160012	 3.39370e-006	 7.97503e-007
    0.0165727	 3.41429e-006	 7.78085e-007
    0.0171441	 2.90930e-006	 7.55981e-007
    0.0177156	 3.57130e-006	 7.38610e-007
    0.0182871	 3.00390e-006	 7.19667e-007
    0.0188586	 1.50560e-006	 6.96899e-007
    0.0194300	 8.67396e-007	 6.81568e-007
    0.0200015	 4.57003e-007	 6.66526e-007
    0.0205729	-2.09984e-008	 6.49864e-007
    0.0211444	 1.27310e-006	 6.42467e-007
    0.0217159	 1.63830e-006	 6.31244e-007
    0.0222873	 9.71799e-007	 6.19534e-007
    0.0228588	 7.41100e-007	 6.07398e-007
    0.0234303	 5.28904e-007	 5.95731e-007
    0.0240017	 9.67797e-007	 5.87613e-007
    0.0245732	 8.85004e-007	 5.76539e-007
    0.0251447	 9.13802e-007	 5.68141e-007
    0.0257161	 8.98304e-007	 5.58506e-007
    0.0262876	 2.83202e-007	 5.47099e-007
    0.0268590	-2.58697e-007	 5.38804e-007
    0.0274305	-9.77903e-007	 5.28979e-007
    0.0280020	-8.08497e-007	 5.21809e-007
    0.0285734	-8.37899e-007	 5.15288e-007
    0.0291449	-1.61803e-007	 5.10926e-007
    0.0297163	-9.11969e-008	 5.04957e-007
    0.0302878	 2.57001e-007	 5.00185e-007
    0.0308593	-4.77201e-007	 4.91558e-007
    0.0314307	-7.71033e-008	 4.85957e-007
    0.0320022	-1.35988e-008	 4.81760e-007
    0.0325736	-1.27598e-007	 4.74867e-007
    0.0331451	-4.59804e-007	 4.67881e-007
    0.0337165	 4.36397e-007	 4.66979e-007
    0.0342880	 1.93701e-007	 4.61000e-007
    0.0348594	 1.34998e-007	 4.55710e-007
