aldo_pH7p5_Elution1_0022_circles#_5_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 1.72470e-005	 8.22074e-006
   0.00685768	 1.10280e-005	 4.95638e-006
   0.00742915	 6.75501e-006	 3.78908e-006
   0.00800062	 1.11470e-005	 2.76682e-006
   0.00857209	 1.47910e-005	 2.28111e-006
   0.00914356	 9.99401e-006	 1.94048e-006
   0.00971504	 1.18180e-005	 1.72214e-006
    0.0102865	 1.30210e-005	 1.55175e-006
    0.0108580	 9.57301e-006	 1.33528e-006
    0.0114295	 8.88600e-006	 1.19876e-006
    0.0120009	 5.50599e-006	 1.08544e-006
    0.0125724	 3.88600e-006	 1.00993e-006
    0.0131439	 2.89300e-006	 9.55270e-007
    0.0137153	 4.09300e-006	 9.18718e-007
    0.0142868	 4.86100e-006	 8.85609e-007
    0.0148583	 3.86700e-006	 8.53703e-007
    0.0154297	 4.14150e-006	 8.25495e-007
    0.0160012	 3.98170e-006	 7.99716e-007
    0.0165727	 3.19430e-006	 7.77155e-007
    0.0171441	 2.74750e-006	 7.55284e-007
    0.0177156	 1.76110e-006	 7.31638e-007
    0.0182871	 1.63110e-006	 7.14407e-007
    0.0188586	 1.01280e-006	 6.94975e-007
    0.0194300	 1.34340e-006	 6.83276e-007
    0.0200015	 1.25470e-006	 6.69409e-007
    0.0205729	 8.63998e-007	 6.53050e-007
    0.0211444	-2.93199e-007	 6.36703e-007
    0.0217159	-3.15100e-007	 6.24143e-007
    0.0222873	 2.51101e-007	 6.16906e-007
    0.0228588	-2.52498e-007	 6.03832e-007
    0.0234303	-2.90995e-007	 5.92813e-007
    0.0240017	 4.55038e-008	 5.84371e-007
    0.0245732	 6.07302e-007	 5.75535e-007
    0.0251447	 1.97397e-007	 5.65664e-007
    0.0257161	-3.73700e-007	 5.54187e-007
    0.0262876	-1.08280e-006	 5.42495e-007
    0.0268590	-7.15801e-007	 5.37244e-007
    0.0274305	-3.89104e-007	 5.30852e-007
    0.0280020	-1.74499e-007	 5.23810e-007
    0.0285734	 7.91988e-008	 5.18175e-007
    0.0291449	 3.73984e-008	 5.11506e-007
    0.0297163	-6.55695e-007	 5.03130e-007
    0.0302878	-1.36720e-006	 4.95066e-007
    0.0308593	-1.35230e-006	 4.88795e-007
    0.0314307	-5.41600e-007	 4.84483e-007
    0.0320022	-2.84053e-008	 4.81668e-007
    0.0325736	-5.69999e-007	 4.73483e-007
    0.0331451	-1.15940e-006	 4.65731e-007
    0.0337165	-1.16081e-006	 4.62176e-007
    0.0342880	-2.04498e-007	 4.59780e-007
    0.0348594	-6.13400e-007	 4.53474e-007
