aldo_pH7p5_Elution1_0022_circles#_9_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 1.95640e-005	 8.24879e-006
   0.00685768	 1.89870e-005	 5.02233e-006
   0.00742915	 1.06350e-005	 3.81869e-006
   0.00800062	 1.05780e-005	 2.76374e-006
   0.00857209	 1.33420e-005	 2.27350e-006
   0.00914356	 9.77701e-006	 1.93956e-006
   0.00971504	 1.20060e-005	 1.72329e-006
    0.0102865	 1.19840e-005	 1.54685e-006
    0.0108580	 8.61600e-006	 1.33113e-006
    0.0114295	 5.67400e-006	 1.18508e-006
    0.0120009	 5.13799e-006	 1.08402e-006
    0.0125724	 5.54500e-006	 1.01689e-006
    0.0131439	 3.58600e-006	 9.58206e-007
    0.0137153	 3.88100e-006	 9.17963e-007
    0.0142868	 3.53700e-006	 8.80414e-007
    0.0148583	 1.72501e-006	 8.45242e-007
    0.0154297	 2.06150e-006	 8.17363e-007
    0.0160012	 1.43120e-006	 7.89811e-007
    0.0165727	 4.62496e-007	 7.66582e-007
    0.0171441	 9.13496e-007	 7.48284e-007
    0.0177156	 1.81770e-006	 7.31938e-007
    0.0182871	 5.73702e-007	 7.10464e-007
    0.0188586	 8.68800e-007	 6.94511e-007
    0.0194300	 6.93297e-007	 6.80926e-007
    0.0200015	-1.71400e-007	 6.64201e-007
    0.0205729	 1.68402e-007	 6.50571e-007
    0.0211444	 1.10750e-006	 6.41876e-007
    0.0217159	 2.14620e-006	 6.33071e-007
    0.0222873	 1.13750e-006	 6.20133e-007
    0.0228588	-3.94299e-007	 6.03399e-007
    0.0234303	-3.85699e-007	 5.92549e-007
    0.0240017	 5.12300e-007	 5.86051e-007
    0.0245732	 1.42020e-006	 5.78368e-007
    0.0251447	 1.00300e-006	 5.68450e-007
    0.0257161	-3.28597e-007	 5.54402e-007
    0.0262876	-5.65698e-007	 5.44283e-007
    0.0268590	-2.95098e-007	 5.38692e-007
    0.0274305	-8.34101e-007	 5.29458e-007
    0.0280020	-9.13096e-007	 5.21477e-007
    0.0285734	-1.50360e-006	 5.13151e-007
    0.0291449	-1.40930e-006	 5.06962e-007
    0.0297163	-1.70050e-006	 4.99881e-007
    0.0302878	-7.75603e-007	 4.96975e-007
    0.0308593	-1.02340e-006	 4.89873e-007
    0.0314307	-1.73990e-006	 4.80838e-007
    0.0320022	-1.43180e-006	 4.77432e-007
    0.0325736	-7.74598e-007	 4.72917e-007
    0.0331451	-2.06499e-007	 4.68647e-007
    0.0337165	-8.68306e-007	 4.63103e-007
    0.0342880	-1.04660e-006	 4.57338e-007
    0.0348594	-5.49800e-007	 4.53712e-007
